diseases,medication
drug abuse (barbiturates),"supportive, phenobarbital taper"
polycystic ovarian syndrome (pcos),"combined oral contraceptives, metformin,spironolactone"
encephalitis,"acyclovir (viral), antibiotics (bacterial),steroids"
cyst of the eyelid,"erythromycin ointment, incision if needed"
balanitis,"clotrimazole, fluconazole,betamethasone"
foreign body in the throat,"antibiotics if infection, removal"
drug abuse (cocaine),"supportive, benzodiazepines for agitation"
optic neuritis,"methylprednisolone, interferon beta (if MS)"
alcohol withdrawal,"lorazepam, diazepam,thiamine"
premature atrial contractions (pacs),"metoprolol, verapamil"
hemiplegia,supportive (aspirin if stroke)
hammer toe,"acetaminophen, orthotics (no drug)"
open wound of the cheek,"antibiotics, analgesics"
joint effusion,"ibuprofen, corticosteroid injection"
open wound of the knee,"antibiotics, analgesics"
meningioma,no medication (surgery/radiation)
brain cancer,"temozolomide, bevacizumab,chemotherapy"
placental abruption,"supportive (blood transfusion), delivery"
seasonal allergies (hay fever),"cetirizine, fluticasone nasal spray,montelukast"
lung cancer,"carboplatin + paclitaxel, pembrolizumab,osimertinib (EGFR)"
primary kidney disease,"ACE inhibitors (lisinopril), steroids if glomerulonephritis"
uterine cancer,"medroxyprogesterone, carboplatin + paclitaxel"
dry eye of unknown cause,"cyclosporine eye drops, artificial tears,lifitegrast"
fibrocystic breast disease,"caffeine reduction (no drug), danazol,NSAIDs"
fungal infection of the hair,"terbinafine, itraconazole,griseofulvin"
tooth abscess,"amoxicillin, clindamycin,acetaminophen"
envenomation from spider or animal bite,"antivenom (specific), antibiotics,tetanus"
vacterl syndrome,"supportive (no specific medication), surgery for defects"
vertebrobasilar insufficiency,"aspirin, clopidogrel,statins"
rectal disorder,"mesalamine (if IBD), loperamide"
atonic bladder,"bethanechol, oxybutynin"
benign paroxysmal positional vertical (bppv),"meclizine, diazepam,canalith repositioning (no drug)"
blepharospasm,botulinum toxin injections
sarcoidosis,"prednisone, methotrexate,infliximab"
metastatic cancer,"palliative chemotherapy (varies), opioids for pain"
trigger finger (finger disorder),"corticosteroid injection, NSAIDs"
stye,"erythromycin ointment, warm compress"
hemochromatosis,"deferasirox, phlebotomy primary"
osteochondroma,"no medication, surgery if symptomatic"
cushing syndrome,"ketoconazole, metyrapone,pasireotide,surgery"
typhoid fever,"ceftriaxone, azithromycin,ciprofloxacin"
vitreous degeneration,no medication (observation)
atrophic skin condition,"moisturizers (no drug), topical steroids"
aspergillosis,"voriconazole, amphotericin B,isavuconazole"
uterine atony,"oxytocin, methylergonovine,carboprost"
trichinosis,"albendazole, mebendazole,steroids"
whooping cough,"azithromycin, erythromycin,supportive"
open wound of the lip,"antibiotics, analgesics"
subacute thyroiditis,"ibuprofen, prednisone,beta-blockers"
oral mucosal lesion,"clotrimazole (if candida), triamcinolone paste"
open wound due to trauma,"antibiotics, tetanus toxoid"
intracerebral hemorrhage,"mannitol, anticonvulsants"
alzheimer disease,"donepezil, memantine,galantamine"
vaginismus,"no specific drug (topical lidocaine), botulinum toxin (off-label)"
systemic lupus erythematosis (sle),"hydroxychloroquine, prednisone,mycophenolate"
premature ovarian failure,hormone replacement (estradiol)
thoracic outlet syndrome,no medication (surgery/PT)
ganglion cyst,"NSAIDs (ibuprofen), aspiration"
dislocation of the knee,"acetaminophen, ibuprofen,opioid short-term"
crohn disease,"mesalamine, budesonide,infliximab,azathioprine"
postoperative infection,"vancomycin, piperacillin-tazobactam"
folate deficiency,folic acid
fluid overload,"furosemide, spironolactone"
atrial flutter,"metoprolol, diltiazem,apixaban"
skin disorder,"hydrocortisone, betamethasone (topical)"
floaters,no medication (observation)
tooth disorder,"amoxicillin, acetaminophen"
heart attack,"aspirin, clopidogrel,heparin,atorvastatin,metoprolol"
open wound of the abdomen,"antibiotics, analgesics"
fracture of the leg,"acetaminophen, ibuprofen,opioid short-term"
oral thrush (yeast infection),"nystatin suspension, fluconazole"
pityriasis rosea,"antihistamines (cetirizine), hydrocortisone cream"
allergy to animals,"cetirizine, fluticasone nasal spray"
orthostatic hypotension,"fludrocortisone, midodrine"
obstructive sleep apnea (osa),"no medication (CPAP), modafinil (daytime)"
hypokalemia,potassium chloride
psoriasis,"betamethasone, calcipotriene,methotrexate,secukinumab"
dislocation of the shoulder,"acetaminophen, ibuprofen,opioid short-term"
intussusception,"supportive, surgery/air enema"
cervicitis,azithromycin + ceftriaxone (if STI)
abscess of the pharynx,"penicillin, clindamycin,drainage"
primary thrombocythemia,"hydroxyurea, anagrelide,aspirin"
arthritis of the hip,"ibuprofen, acetaminophen,corticosteroid injection"
decubitus ulcer,antibiotics if infected (varies)
hypernatremia,fluid replacement (hypotonic)
sensorineural hearing loss,no medication (steroids if acute)
chronic ulcer,"antibiotics if infected, pentoxifylline"
osteoporosis,"alendronate, denosumab,calcium + vitamin D"
ileus,supportive (no prokinetics routine)
sickle cell crisis,"hydroxyurea, oxycodone,hydration"
urethritis,"azithromycin, ceftriaxone,doxycycline"
prostatitis,"ciprofloxacin, trimethoprim-sulfamethoxazole"
otitis externa (swimmer's ear),ciprofloxacin + dexamethasone ear drops
poisoning due to anticonvulsants,"supportive, activated charcoal"
testicular torsion,"no medication, surgery"
tricuspid valve disease,"diuretics, furosemide"
urethral stricture,"antibiotics if infection, surgery"
vitamin d deficiency,cholecalciferol (vitamin D3)
hydatidiform mole,"methotrexate (if persistent), surgery"
pain disorder affecting the neck,"ibuprofen, gabapentin"
tuberculosis,isoniazid + rifampin + pyrazinamide + ethambutol
pelvic fistula,"antibiotics, surgery"
acute bronchiolitis,"albuterol (trial), supportive"
presbyopia,no medication (reading glasses)
dementia,"donepezil, memantine"
insect bite,"hydrocortisone, antihistamine (cetirizine)"
paroxysmal ventricular tachycardia,"amiodarone, lidocaine,adenosine"
congenital heart defect,"prostaglandin E1 (ductal), diuretics"
connective tissue disorder,"prednisone, hydroxychloroquine"
foreign body in the eye,"antibiotics (erythromycin), removal"
poisoning due to gas,"oxygen, supportive"
pyogenic skin infection,"cephalexin, dicloxacillin"
endometrial hyperplasia,"medroxyprogesterone, levonorgestrel IUD"
acanthosis nigricans,metformin (if insulin resistance)
central atherosclerosis,"atorvastatin, aspirin"
viral exanthem,"acetaminophen, supportive"
noninfectious gastroenteritis,"loperamide, oral rehydration"
benign prostatic hyperplasia (bph),"tamsulosin, finasteride,dutasteride"
menopause,"hormone replacement (estradiol), venlafaxine"
primary immunodeficiency,"IVIG, antibiotics (prophylactic)"
ovarian cancer,"carboplatin + paclitaxel, bevacizumab"
cataract,no medication (surgery)
dislocation of the hip,"acetaminophen, ibuprofen,opioid short-term"
spinal stenosis,"gabapentin, ibuprofen,epidural steroid"
intestinal obstruction,"supportive (NG tube), surgery"
heart contusion,supportive (beta-blockers if arrhythmia)
congenital malformation syndrome,supportive (no specific)
sporotrichosis,"itraconazole, amphotericin B (severe)"
lymphangitis,"cephalexin, clindamycin"
wernicke korsakoff syndrome,thiamine IV
intestinal disease,"mesalamine (if IBD), loperamide"
acute bronchitis,"albuterol (if wheeze), acetaminophen"
persistent vomiting of unknown cause,"ondansetron, metoclopramide"
open wound of the foot,"antibiotics, analgesics"
myocarditis,"supportive (ACE inhibitors), steroids if autoimmune"
preeclampsia,"magnesium sulfate, labetalol,nifedipine"
ischemic heart disease,"aspirin, metoprolol,atorvastatin"
neurofibromatosis,no medication (surgery for tumors)
chickenpox,"acyclovir (if severe), supportive"
pancreatic cancer,"gemcitabine + nab-paclitaxel, FOLFIRINOX"
neuropathy due to drugs,"gabapentin, duloxetine,pregabalin"
croup,"dexamethasone, epinephrine nebulized"
idiopathic excessive menstruation,"tranexamic acid, combined oral contraceptives"
amblyopia,"atropine eye drops, patching"
meckel diverticulum,"no medication, surgery if bleeding"
dislocation of the wrist,"acetaminophen, ibuprofen,opioid short-term"
ear drum damage,"antibiotics (ofloxacin drops), surgery"
erectile dysfunction,"sildenafil, tadalafil,vardenafil"
temporary or benign blood in urine,supportive (no drug)
kidney disease due to longstanding hypertension,"lisinopril, losartan"
chondromalacia of the patella,"ibuprofen, physical therapy"
onychomycosis,"terbinafine, itraconazole,ciclopirox"
urethral disorder,antibiotics if infection
lyme disease,"doxycycline, amoxicillin,cefuroxime"
iron deficiency anemia,"ferrous sulfate, ferrous gluconate"
acute respiratory distress syndrome (ards),supportive (no specific drug)
toxic multinodular goiter,"methimazole, propranolol"
open wound of the finger,"antibiotics, analgesics"
autonomic nervous system disorder,"fludrocortisone, midodrine"
psychosexual disorder,"SSRIs (if anxiety component), no primary"
anemia,"ferrous sulfate, erythropoietin,folic acid"
tendinitis,"ibuprofen, naproxen,corticosteroid injection"
common cold,"acetaminophen, pseudoephedrine,loratadine"
amyotrophic lateral sclerosis (als),"riluzole, edaravone"
central retinal artery or vein occlusion,"aspirin, anti-VEGF"
paroxysmal supraventricular tachycardia,"adenosine, verapamil,metoprolol"
venous insufficiency,"horse chestnut (limited), compression"
trichomonas infection,"metronidazole, tinidazole"
acne,"benzoyl peroxide, clindamycin topical,adapalene,doxycycline"
depression,"sertraline, escitalopram,bupropion,venlafaxine"
drug abuse,"naltrexone (opioid/alcohol), buprenorphine"
urinary tract obstruction,"tamsulosin, antibiotics if infection"
diabetes insipidus,"desmopressin, hydrochlorothiazide"
iridocyclitis,"steroid eye drops, cycloplegics"
varicocele of the testicles,"no medication, surgery"
irritable bowel syndrome,"dicyclomine, linaclotide,eluxadoline"
fracture of the foot,"acetaminophen, ibuprofen,opioid short-term"
ovarian cyst,"combined oral contraceptives (preventive), ibuprofen"
chlamydia,"azithromycin, doxycycline"
parasitic disease,"albendazole, ivermectin,praziquantel"
fracture of the jaw,"acetaminophen, ibuprofen,opioid short-term,antibiotics"
lipoma,"no medication, surgical removal"
female genitalia infection,"metronidazole, fluconazole"
pulmonary hypertension,"sildenafil, bosentan,treprostinil"
thyroid nodule,"levothyroxine (suppression), methimazole"
broken tooth,"antibiotics (if abscess), acetaminophen"
dumping syndrome,"octreotide, acarbose"
lymphadenitis,antibiotics (varies by cause)
injury to the face,"acetaminophen, ibuprofen,antibiotics if open"
aortic valve disease,"warfarin (if AF), diuretics"
rheumatoid arthritis,"methotrexate, etanercept,hydroxychloroquine"
spermatocele,"no medication, surgery if symptomatic"
impetigo,"mupirocin ointment, cephalexin"
anal fistula,"antibiotics, metronidazole,surgery"
hypothermia,"supportive (rewarming), no drug"
oppositional disorder,"risperidone (if severe), SSRIs"
migraine,"sumatriptan, rizatriptan,propranolol (preventive)"
diabetic peripheral neuropathy,"gabapentin, duloxetine,pregabalin"
testicular disorder,antibiotics if infection
gestational diabetes,"insulin (preferred), metformin"
hidradenitis suppurativa,"clindamycin + rifampin, adalimumab"
valley fever,"fluconazole, itraconazole,amphotericin B"
conjunctivitis due to bacteria,"erythromycin ointment, tobramycin drops"
lewy body dementia,"rivastigmine, levodopa (for parkinsonism)"
multiple myeloma,"lenalidomide + dexamethasone, bortezomib"
head injury,"mannitol (if edema), anticonvulsants"
ascending cholangitis,"piperacillin-tazobactam, ceftriaxone + metronidazole"
idiopathic irregular menstrual cycle,"combined oral contraceptives, progestin"
interstitial lung disease,"prednisone, nintedanib"
mononeuritis,"steroids (prednisone), IVIG"
malaria,"artemether-lumefantrine, atovaquone-proguanil"
somatization disorder,"SSRIs (sertraline), amitriptyline"
hypovolemia,IV fluids (normal saline)
schizophrenia,"risperidone, olanzapine,quetiapine"
knee ligament or meniscus tear,"ibuprofen, acetaminophen,opioid short-term"
endocarditis,"vancomycin + gentamicin, ceftriaxone"
sepsis,"piperacillin-tazobactam, vancomycin,meropenem"
heat stroke,"supportive (cooling), no specific drug"
cholecystitis,"cefazolin + metronidazole, piperacillin-tazobactam"
cardiac arrest,"epinephrine, amiodarone (per ACLS)"
cardiomyopathy,"metoprolol, enalapril,spironolactone"
social phobia,"sertraline, venlafaxine,propranolol (as needed)"
meningitis,"ceftriaxone + vancomycin, dexamethasone,acyclovir"
spherocytosis,"folate, supportive"
hormone disorder,"levothyroxine (hypo), hydrocortisone"
raynaud disease,"nifedipine, amlodipine"
reactive arthritis,"NSAIDs (indomethacin), sulfasalazine"
scabies,"permethrin cream, ivermectin"
ear wax impaction,carbamide peroxide drops
hypertension of pregnancy,"labetalol, nifedipine,methyldopa"
peripheral arterial embolism,"heparin, alteplase"
rosacea,"metronidazole gel, doxycycline,ivermectin cream"
fracture of the skull,"supportive, mannitol if edema"
uveitis,"steroid eye drops, prednisone"
fracture of the facial bones,"acetaminophen, ibuprofen,antibiotics"
tracheitis,antibiotics (varies)
jaw disorder,"ibuprofen, amitriptyline"
perirectal infection,"metronidazole + ciprofloxacin, drainage"
breast cyst,"NSAIDs, drainage if symptomatic"
post-traumatic stress disorder (ptsd),"sertraline, paroxetine,prazosin"
kidney cancer,"sunitinib, pazopanib,axitinib"
vulvar cancer,"chemotherapy (cisplatin), surgery primary"
blepharitis,"erythromycin ointment, artificial tears"
celiac disease,gluten-free diet (no drug)
cystitis,"nitrofurantoin, trimethoprim-sulfamethoxazole"
sickle cell anemia,"hydroxyurea, penicillin (prophylaxis)"
subconjunctival hemorrhage,artificial tears (no drug)
hemorrhoids,"hydrocortisone cream, lidocaine,psyllium"
contact dermatitis,"hydrocortisone, betamethasone"
sinus bradycardia,"atropine (acute), pacemaker"
high blood pressure,"lisinopril, amlodipine,losartan,hydrochlorothiazide"
pelvic inflammatory disease,ceftriaxone + doxycycline
liver disease,supportive (ursodeoxycholic if cholestatic)
chronic constipation,"polyethylene glycol, lactulose,senna"
thyroid cancer,"levothyroxine (suppression), radioiodine"
flu,"oseltamivir, zanamivir"
friedrich ataxia,supportive (no specific)
tic (movement) disorder,"haloperidol, clonidine"
skin polyp,no medication (removal)
brachial neuritis,"prednisone, analgesics"
cervical cancer,"cisplatin + radiation, bevacizumab"
adrenal adenoma,"spironolactone (if Conn), surgery"
esophagitis,"omeprazole, pantoprazole"
gas gangrene,"penicillin G + clindamycin, hyperbaric oxygen"
yeast infection,"fluconazole, clotrimazole"
spina bifida,"folic acid (preventive), supportive"
drug poisoning due to medication,"supportive, antidotes (specific)"
alcoholic liver disease,"thiamine, prednisolone (if hepatitis)"
malignant hypertension,"labetalol, nitroprusside IV"
diverticulitis,ciprofloxacin + metronidazole
moyamoya disease,"aspirin, surgery"
heat exhaustion,"oral rehydration, supportive"
psychotic disorder,"olanzapine, risperidone"
frostbite,"supportive (rewarming), tissue plasminogen activator (selected cases)"
atrophy of the corpus cavernosum,no specific drug
smoking or tobacco addiction,"varenicline, bupropion,nicotine replacement"
sprain or strain,"ibuprofen, acetaminophen"
essential tremor,"propranolol, primidone,topiramate"
open wound of the ear,"antibiotics, analgesics"
foreign body in the nose,"antibiotics if infection, removal"
idiopathic painful menstruation,"ibuprofen, naproxen,combined oral contraceptives"
down syndrome,supportive (no specific medication)
idiopathic infrequent menstruation,"progesterone, combined oral contraceptives"
pneumothorax,"oxygen, chest tube"
de quervain disease,"ibuprofen, corticosteroid injection"
fracture of the vertebra,"acetaminophen, opioids,calcitonin"
human immunodeficiency virus infection (hiv),tenofovir + emtricitabine + dolutegravir
mumps,supportive (no antiviral)
subarachnoid hemorrhage,"nimodipine, mannitol"
acute fatty liver of pregnancy (aflp),"supportive, delivery"
ectropion,"artificial tears, surgery"
scar,silicone gel sheets (no drug)
lactose intolerance,lactase enzyme
eustachian tube dysfunction (ear disorder),"pseudoephedrine, nasal steroids"
appendicitis,"cefoxitin, metronidazole + ciprofloxacin,surgery"
graves disease,"methimazole, propranolol,radioiodine"
dissociative disorder,SSRIs (sertraline)
open wound of the face,"antibiotics, analgesics"
dislocation of the vertebra,"supportive, surgery"
phimosis,"steroid cream (betamethasone), surgery"
hyperemesis gravidarum,"pyridoxine + doxylamine, ondansetron"
pregnancy,"prenatal vitamins, folic acid"
thalassemia,"folic acid, transfusions"
placenta previa,"supportive, delivery (no drug)"
epidural hemorrhage,"surgical evacuation, mannitol"
septic arthritis,vancomycin + ceftriaxone
athlete's foot,"terbinafine cream, clotrimazole"
pleural effusion,"diuretics (if heart failure), antibiotics if infected"
aphakia,no medication (intraocular lens)
vulvar disorder,"estrogen cream, steroids"
sialoadenitis,"amoxicillin-clavulanate, pilocarpine"
gynecomastia,"tamoxifen (if painful), surgery"
urinary tract infection,"nitrofurantoin, trimethoprim-sulfamethoxazole"
histoplasmosis,"itraconazole, amphotericin B"
erythema multiforme,"supportive, antihistamines"
scoliosis,no medication (bracing/surgery)
bunion,"NSAIDs, surgery"
arrhythmia,"metoprolol, amiodarone,digoxin"
trigeminal neuralgia,"carbamazepine, gabapentin,oxcarbazepine"
ankylosing spondylitis,"indomethacin, adalimumab,secukinumab"
peripheral nerve disorder,"gabapentin, pregabalin"
sebaceous cyst,"antibiotics if infected, surgery"
poisoning due to antipsychotics,"supportive, benztropine (extrapyramidal)"
neurosis,SSRIs (sertraline)
prostate cancer,"leuprolide, bicalutamide,abiraterone"
cerebral edema,"mannitol, dexamethasone"
dislocation of the finger,"acetaminophen, ibuprofen,opioid short-term"
birth trauma,supportive
chronic pancreatitis,"pancrelipase, opioids (pain)"
hematoma,supportive (no drug)
carcinoid syndrome,octreotide
open wound of the head,"antibiotics, analgesics"
seborrheic keratosis,no medication (cryotherapy)
burn,"silver sulfadiazine, acetaminophen"
spontaneous abortion,misoprostol (if incomplete)
genital herpes,"acyclovir, valacyclovir,famciclovir"
adjustment reaction,SSRIs short-term
gallstone,"ursodeoxycholic acid, surgery"
multiple sclerosis,"interferon beta, glatiramer acetate,fingolimod"
zenker diverticulum,"no medication, surgery"
fracture of the pelvis,"acetaminophen, opioids,supportive"
pneumoconiosis,supportive (no drug)
hyperlipidemia,"atorvastatin, rosuvastatin"
ulcerative colitis,"mesalamine, prednisone,infliximab"
male genitalia infection,"doxycycline, ceftriaxone"
hpv,"imiquimod (warts), podofilox"
angina,"aspirin, metoprolol,nitroglycerin,atorvastatin"
injury to the spinal cord,"methylprednisolone (acute), supportive"
nasal polyp,"mometasone nasal spray, omalizumab"
lichen simplex,"hydrocortisone, betamethasone"
trichiasis,"artificial tears, surgery"
acariasis,"permethrin, ivermectin"
colorectal cancer,5-fluorouracil + leucovorin + oxaliplatin
skin pigmentation disorder,"hydroquinone, retinoids"
factitious disorder,supportive (no drug)
lymphogranuloma venereum,doxycycline
galactorrhea of unknown cause,cabergoline
g6pd enzyme deficiency,avoid triggers (no drug)
nerve impingement near the shoulder,"gabapentin, NSAIDs"
toxoplasmosis,pyrimethamine + sulfadiazine
fibroadenoma,"no medication, surgery if needed"
open wound of the hand,"antibiotics, analgesics"
missed abortion,misoprostol
diabetic ketoacidosis,"insulin, fluids,electrolytes"
granuloma inguinale,"doxycycline, azithromycin"
obsessive compulsive disorder (ocd),"fluoxetine, sertraline,clomipramine"
injury of the ankle,"acetaminophen, ibuprofen,opioid short-term"
hyponatremia,"fluid restriction, tolvaptan,3% saline (severe)"
stricture of the esophagus,"proton pump inhibitors (omeprazole), dilation primary"
fracture of the ankle,"acetaminophen, ibuprofen,opioid short-term"
soft tissue sarcoma,doxorubicin + ifosfamide
bone disorder,"alendronate, calcium + vitamin D"
epilepsy,"levetiracetam, valproate,lamotrigine"
personality disorder,SSRIs (if comorbid)
shingles (herpes zoster),"valacyclovir, famciclovir,gabapentin"
tourette syndrome,"haloperidol, clonidine,risperidone"
avascular necrosis,"alendronate (limited), surgery"
strep throat,"penicillin V, amoxicillin"
spinocerebellar ataxia,supportive (no specific)
osteomyelitis,"vancomycin, cefepime,surgery"
sjogren syndrome,"pilocarpine, cevimeline,hydroxychloroquine"
adhesive capsulitis of the shoulder,"corticosteroid injection, NSAIDs"
viral hepatitis,"entecavir (HBV), sofosbuvir (HCV)"
tonsillar hypertrophy,"antibiotics if infection, surgery"
gastritis,"omeprazole, amoxicillin + clarithromycin (if H. pylori)"
skin cancer,"5-fluorouracil (topical), imiquimod"
rheumatic fever,"penicillin, aspirin"
aphthous ulcer,"triamcinolone paste, chlorhexidine"
tonsillitis,"penicillin V, amoxicillin"
intestinal cancer,5-fluorouracil + oxaliplatin
rocky mountain spotted fever,doxycycline
stomach cancer,fluorouracil + cisplatin
developmental disability,supportive (no specific)
acute stress reaction,lorazepam short-term
delirium,"haloperidol, supportive"
callus,salicylic acid pads
guillain barre syndrome,"IVIG, plasma exchange"
lumbago,"ibuprofen, gabapentin"
deviated nasal septum,no medication (surgery)
hemangioma,"propranolol, steroids"
peripheral arterial disease,"cilostazol, aspirin,atorvastatin"
chronic back pain,"ibuprofen, gabapentin,duloxetine"
heart failure,"enalapril, carvedilol,spironolactone,furosemide"
conjunctivitis,"artificial tears, olopatadine (allergic)"
herniated disk,"ibuprofen, prednisone,gabapentin"
rhabdomyolysis,"IV fluids, supportive"
breast infection (mastitis),"dicloxacillin, cephalexin"
abdominal aortic aneurysm,"beta-blockers (metoprolol), surgery"
pulmonary embolism,"heparin, enoxaparin,apixaban"
conduct disorder,"risperidone (severe), stimulants if ADHD"
mastectomy,supportive (no drug)
epididymitis,doxycycline + ceftriaxone
premature rupture of amniotic membrane,"antibiotics (ampicillin), corticosteroids"
molluscum contagiosum,"imiquimod, cantharidin"
necrotizing fasciitis,"vancomycin + piperacillin-tazobactam + clindamycin, surgery"
benign vaginal discharge (leukorrhea),no medication (hygiene)
bladder obstruction,"tamsulosin, antibiotics"
melanoma,"dabrafenib + trametinib, pembrolizumab"
cervical disorder,"antibiotics if infection, surgery"
laryngitis,supportive (no antibiotics routine)
dyshidrosis,"topical steroids, antihistamines"
poisoning due to opioids,naloxone
diaper rash,"zinc oxide cream, nystatin"
lichen planus,"topical steroids (clobetasol), antihistamines"
gastroduodenal ulcer,"omeprazole, amoxicillin + clarithromycin"
inguinal hernia,"no medication, surgery"
eczema,"hydrocortisone, betamethasone,moisturizers"
asperger syndrome,supportive (no drug)
mucositis,"benzydamine rinse, magic mouthwash"
paronychia,"antibiotics (cephalexin), antifungal if candida"
open wound of the jaw,"antibiotics, analgesics"
white blood cell disease,supportive (varies)
kaposi sarcoma,"antiretrovirals (HIV), doxorubicin"
spondylolisthesis,"ibuprofen, gabapentin"
pseudotumor cerebri,"acetazolamide, topiramate"
conjunctivitis due to virus,supportive (no antibiotics)
open wound of the nose,"antibiotics, analgesics"
