diseases,symptoms
acute pancreatitis,"sharp chest pain,abusing alcohol,sharp abdominal pain,vomiting,nausea,diarrhea,back pain,burning abdominal pain,side pain,lower body pain,upper abdominal pain,hemoptysis"
acute sinusitis,"sore throat,cough,nasal congestion,facial pain,ear pain,frontal headache,fever,coughing up sputum,coryza,sinus congestion,painful sinuses"
asthma,"shortness of breath,sharp chest pain,chest tightness,cough,nasal congestion,wheezing,fever,difficulty breathing,coughing up sputum,coryza,allergic reaction"
atelectasis,"shortness of breath,sharp chest pain,dizziness,sore throat,cough,headache"
atrophic vaginitis,"suprapubic pain,vaginal itching,painful urination,involuntary urination,pain during intercourse,frequent urination,vaginal discharge,blood in urine"
cellulitis or abscess of mouth,"sore throat,throat swelling,difficulty in swallowing,lip swelling,toothache,abnormal appearing skin,skin growth"
chalazion,"skin growth,diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,eye redness,lacrimation,mass on eyelid,swollen eye,eyelid swelling"
choledocholithiasis,"sharp chest pain,jaundice,sharp abdominal pain,vomiting,nausea,decreased appetite,side pain,upper abdominal pain,chills"
chronic pain disorder,"leg pain,hip pain,sharp abdominal pain,headache,back pain,low back pain,pelvic pain,knee pain,shoulder pain,ache all over"
cirrhosis,"shortness of breath,blood in stool,sharp abdominal pain,vomiting blood,regurgitation,peripheral edema,upper abdominal pain,abdominal distention,regurgitation.1"
corneal disorder,"white discharge from eye,diminished vision,double vision,symptoms of eye,pain in eye,foreign body sensation in eye,spots or clouds in vision,eye redness,lacrimation,itchiness of eye"
coronary atherosclerosis,"shortness of breath,sharp chest pain,chest tightness,palpitations,irregular heartbeat,leg cramps or spasms,fatigue,burning chest pain"
cryptorchidism,"lack of growth,symptoms of the scrotum and testes,swelling of scrotum"
cysticercosis,"shortness of breath,elbow weakness,headache,seizures"
diabetic retinopathy,"diminished vision,double vision,symptoms of eye,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,spots or clouds in vision,lacrimation,itchiness of eye"
eating disorder,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,abusing alcohol,acne or pimples,weight gain,difficulty eating,decreased appetite"
emphysema,"shortness of breath,sharp chest pain,cough,emotional symptoms"
endophthalmitis,"painful urination,diminished vision,pain in eye,eye redness,itchiness of eye,swollen eye"
eye alignment disorder,"lack of growth,eye deviation,diminished vision,double vision,cross-eyed,symptoms of eye,pain in eye,eye moves abnormally,irregular appearing scalp"
fetal alcohol syndrome,"depressive or psychotic symptoms,emotional symptoms,excessive anger"
fibromyalgia,"sharp chest pain,leg pain,hip pain,headache,arm pain,back pain,neck pain,low back pain,muscle pain,ache all over"
foreign body in the gastrointestinal tract,"lump in throat,difficulty in swallowing,sharp abdominal pain,vomiting,vomiting blood,recent weight loss"
foreign body in the vagina,"emotional symptoms,painful urination,vaginal discharge"
fracture of the hand,"hand or finger pain,wrist pain,hand or finger swelling,arm pain,wrist swelling,arm stiffness or tightness,hand or finger stiffness or tightness,wrist stiffness or tightness"
glaucoma,"diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,spots or clouds in vision,eye redness,lacrimation,itchiness of eye,itchy eyelid"
headache after lumbar puncture,"dizziness,vomiting,headache,nausea,painful urination,neck pain,low back pain"
hyperhidrosis,"cough,acne or pimples,fever,sweating,warts"
hypertrophic obstructive cardiomyopathy (hocm),"anxiety and nervousness,sharp chest pain,emotional symptoms"
idiopathic nonmenstrual bleeding,"sharp abdominal pain,painful urination,vaginal discharge,intermenstrual bleeding,long menstrual periods,unpredictable menstruation"
induced abortion,"sharp abdominal pain,lower abdominal pain,vaginal discharge,intermenstrual bleeding,pain during pregnancy,spotting or bleeding during pregnancy,cramps and spasms,groin pain"
infectious gastroenteritis,"blood in stool,sharp abdominal pain,vomiting,headache,nausea,diarrhea,burning abdominal pain,decreased appetite,fever,chills,fluid retention,flu-like syndrome"
ingrown toe nail,"abnormal appearing skin,skin growth,neck swelling,foot or toe pain,foot or toe swelling,skin on leg or foot looks infected,swollen eye,irregular appearing nails,skin dryness, peeling, scaliness, or roughness,skin on arm or hand looks infected"
injury to the abdomen,"sharp chest pain,leg pain,sharp abdominal pain,blood in urine,back pain"
injury to the hand,"hand or finger pain,wrist pain,hand or finger swelling,wrist swelling,hand or finger stiffness or tightness,skin growth,joint pain"
injury to the hip,"leg pain,hip pain,hand or finger swelling,neck pain"
injury to the knee,"leg pain,knee pain,knee weakness,problems with movement,foot or toe swelling"
intestinal malabsorption,"cough,nasal congestion,flatulence,sharp abdominal pain,vomiting,diarrhea,allergic reaction"
ischemia of the bowel,"retention of urine,blood in stool,sharp abdominal pain,vomiting,nausea,burning abdominal pain,constipation"
liver cancer,"groin mass,sharp abdominal pain,decreased appetite,upper abdominal pain,stomach bloating"
lung contusion,"shortness of breath,sharp chest pain,back pain,ache all over"
mastoiditis,"dizziness,cough,nasal congestion,diminished hearing,facial pain,ear pain"
metabolic disorder,"jaundice,arm stiffness or tightness,weight gain,smoking problems"
osteochondrosis,"hand or finger pain,knee pain,foot or toe pain,bowlegged or knock-kneed,ankle pain,elbow pain"
ovarian torsion,"skin swelling,groin mass,sharp abdominal pain,lower abdominal pain,pelvic pain,ache all over"
panic disorder,"anxiety and nervousness,depression,shortness of breath,depressive or psychotic symptoms,dizziness,insomnia,abnormal involuntary movements,chest tightness,palpitations,irregular heartbeat,breathing fast"
peritonitis,"shortness of breath,groin mass,sharp abdominal pain,vomiting,nausea,intermenstrual bleeding,back pain,side pain"
pituitary adenoma,"headache,nausea,pain in eye,muscle swelling"
poisoning due to ethylene glycol,"depression,depressive or psychotic symptoms,abusing alcohol,fainting"
postpartum depression,"anxiety and nervousness,depression,depressive or psychotic symptoms,drug abuse,intermenstrual bleeding,pain during pregnancy,excessive anger,problems during pregnancy,delusions or hallucinations"
problem during pregnancy,"sharp abdominal pain,vomiting,headache,nausea,lower abdominal pain,back pain,pain during pregnancy,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms"
pulmonary eosinophilia,"shortness of breath,sharp chest pain,dizziness,cough,nasal congestion,paresthesia,fever"
pyelonephritis,"suprapubic pain,sharp abdominal pain,vomiting,nausea,painful urination,frequent urination,lower abdominal pain,blood in urine,back pain,low back pain,side pain"
pyloric stenosis,"cough,vomiting,arm stiffness or tightness"
restless leg syndrome,"depression,insomnia,abnormal involuntary movements,leg pain,headache,fatigue,sleepiness,apnea"
retinopathy due to high blood pressure,"pus draining from ear,diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,spots or clouds in vision"
rotator cuff injury,"arm pain,arm stiffness or tightness,hand or finger stiffness or tightness,shoulder pain,shoulder stiffness or tightness,shoulder weakness"
salivary gland disorder,"sore throat,cough,throat feels tight,swollen lymph nodes"
sick sinus syndrome,"shortness of breath,dizziness,palpitations,irregular heartbeat,fainting,weakness,decreased heart rate,increased heart rate"
spondylitis,"leg pain,hip pain,back pain,neck pain,low back pain,side pain,lower body pain,stiffness all over,back mass or lump"
stroke,"depressive or psychotic symptoms,dizziness,abnormal involuntary movements,difficulty speaking,headache,problems with movement,focal weakness,slurring words,disturbance of memory,seizures"
subdural hemorrhage,"depressive or psychotic symptoms,dizziness,irritable infant,vomiting,headache,facial pain"
substance-related mental disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,hostile behavior,drug abuse,feeling ill,delusions or hallucinations"
teething syndrome,"cough,nasal congestion,diarrhea,symptoms of infants,ear pain,decreased appetite,fever,temper problems,redness in ear"
thoracic aortic aneurysm,"shortness of breath,sharp chest pain,dizziness,chest tightness,jaundice,sharp abdominal pain,fatigue"
thrombophlebitis,"skin swelling,leg pain,arm pain,arm swelling,foot or toe pain,leg swelling,ache all over,lymphedema,skin on leg or foot looks infected"
tinnitus of unknown cause,"dizziness,hoarse voice,diminished hearing,headache,ear pain,ringing in ear,plugged feeling in ear,itchy ear(s)"
transient ischemic attack,"depressive or psychotic symptoms,dizziness,difficulty speaking,headache,weakness,loss of sensation,focal weakness,symptoms of the face,disturbance of memory,paresthesia"
turner syndrome,"depression,emotional symptoms"
uterine fibroids,"sharp abdominal pain,involuntary urination,lower abdominal pain,intermenstrual bleeding,pelvic pain,cramps and spasms,heavy menstrual flow,unpredictable menstruation,painful menstruation"
vaginal yeast infection,"suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,lower abdominal pain,vaginal discharge,vaginal pain,vaginal redness,vulvar irritation,itching of skin"
vaginitis,"suprapubic pain,sharp abdominal pain,vaginal itching,painful urination,pain during intercourse,lower abdominal pain,vaginal discharge,pain during pregnancy,pelvic pain,vaginal pain,vaginal redness"
viral warts,"skin swelling,lip swelling,abnormal appearing skin,skin lesion,acne or pimples,skin growth,skin moles,warts,bumps on penis"
vocal cord polyp,
